Resource Name,Org,Date,URL,Summary,Tool Type,,Policy Area,Region,,Accessibility Score,Abundance Alignment,Strengths
Development Calculator,Terner Center,2025,https://ternercenter.berkeley.edu/proforma/,"Interactive financial model that demonstrates howchanges in land cost, hard costs, development fees, affordability requirements, time to permitting, etc. impact the probablity of a development project being built. ",Simulator,,"Land Use, Financing Projects, Cost of Building",West,,medium,,Aimed at Policymakers
Policy Gauge,Terner Center,2025,https://ternercenter.berkeley.edu/example-cities/,This tool models how adjusting policy factors like density and parking requirements impact the number of units produced and tax revenue generated. ,Simulator,,"Land Use, Financing Projects, Cost of Building",West,,High,,Aimed at Policymakers
Demystifying Development Math,Terner Center,2023,https://www.ternercenter.app/demystifying-development-math#simulation,"Interactive exercise that helps visualize and explain building costs for multi-family, market rate housing.",Simulator,,"Land Use, Financing Projects, Cost of Building","National, West",,High,,
Local Land Use Planning by Ballot,SPUR,2024,https://drive.google.com/file/d/16UUu65rMgCsRqedx39QaiW0QICowxd3x/view?usp=drive_link,A catalog of 208 Land use ballot measures that Californians have voted on over the years. Ballot measures are broken into categories and then analyzed for their wider impact on adding housing stock.,"Research Brief, Catalog or Library",,Financing Projects,West,,,,
The Cost of Affordable Housing: Does it Pencil?,Urban Institute,2016,https://apps.urban.org/features/cost-of-affordable-housing/,"Interactive excercise that helps visualize and explain building costs for multi-family, affordable housing.",Simulator,,"Cost of Building, Financing Projects",National,,High,,"Explains Tax Credits, public land grants"
Housing Trust Funds in 10 Localities,Local Housing Solutions,2023,https://www.localhousingsolutions.org/housing-policy-case-studies/housing-trust-funds-in-ten-localities/,"A comparison of 10 local Housing Trust Fund implementations, featuring different sizes and politial alignments.",Research Brief,,Financing Projects,National,,,,
Housing Strategy Review,Local Housing Solutions,2025,https://localhousingsolutions.org/housing-strategy-review/long-version/,Questionaire/assessment that identifies the strengths of your local housing plan.,Assessment,,"Land Use, Financing Projects, Homelessness Prevention",National,,Medium,,Very actionable
Housing Needs Assessment Tool,Local Housing Solutions,2025,https://localhousingsolutions.org/housing-needs-assessment/,"Visually compare housing needs in your area to national aggregate of demographic data, economic data, property & stock data, subsidy data. Powered by PolicyMap.","Assessment, Interactive map",,"Land Use, Financing Projects",National,,,,Very actionable
Building a Housing Strategy,Local Housing Solutions,2025,https://localhousingsolutions.org/build-a-housing-strategy/,"Step by step guidance around planning a strategy, analyzing data, crafting policy, finding funding, making adjustments, and bridging policy sectors.","Guide or Toolkit, Training & Consulting",,"Land Use, Financing Projects",National,,,,"Comprehensive, very actionable"
Funding a Local Housing Strategy,Local Housing Solutions,2025,https://drive.google.com/file/d/1qCfyVtCdrvc0d8HU-1tsVskkjnqwSHxw/view?usp=drive_link,A menu of funding sources local governments can employ to increase or preserve affordable housing.,Research Brief,,Financing Projects,National,,,,
Local Housing Policy Objectives,Local Housing Solutions,2025,https://www.localhousingsolutions.org/policy-objectives/?_policy_briefs=22172,A catalog of housing objectives with corresponding local policies that help to attain those goals.,Catalog or Library,,"Land Use, Rental / Tenant Protections, Climate Resiliency, Homelessness Prevention, Homeownership",National,,high,,"Beyond housing supply, this page also includes policies"
Emergency Rental Assistance Priority Index,Urban Institute,2025,,"Map of census tracts that shows eviction risk percentiles, ranking neighborhoods relative to others across the broader state",Interactive map,,Rental / Tenant Protections,National,,,,Facilitates policy makers to prioritize emergency rental assistance and targeted outreach to neighborhoods that need it most.
Puget Sound Zoning Simulator,Urban Institute,2023,https://apps.urban.org/features/affordable-housing-shortage-and-zoning/,"Walk through of proposed policies including increased density, adding missing middle, doubling housing near transit, and legalizing multi-family housing in commercial or retail zones. The tool predicts how many units of housing would result from enacting any of the above policies. ",Simulator,,"Land Use, Financing Projects, Cost of Building",West,,high,,"Highly digestable, nice for comparing several upzoning options"
The State of the Nation's Housing 2025,Joint Center for Housing Studies of Harvard,2025,https://www.jchs.harvard.edu/state-nations-housing-2025,"Interactive maps and data on changes in housing data, including cost burden, homelessness, and renovation statistics. The Joint Center on Housing focuses on market conditions, interstate migration, and the quality and affordability of the current housing stock, and while it has a lot of information about demand for housing across the country, there's not much guidance on supplying new housing stock. ","Research Brief, Interactive map",,"Homeownership, Rental / Tenant Protections, Land Use, Climate Resiliency, Homelessness Prevention",National,,High,,"Helps to intuitively visualize changes like the increased cost of housing, helpful, comprehensive companion report detailing national trends "
The State of the Nation's Housing 2025 Fact Sheet,Joint Center for Housing Studies of Harvard,2025,https://drive.google.com/file/d/1DGUlhJvfXkIOp2ctlsX2SbFUy2yByuXT/view?usp=drive_link,"3 pager on highlights from the Joint Center for Housing Studies' annual report covering trends in housing cost burden, population demographics, and rates of homelessness.",Research Brief,,"Rental / Tenant Protections, Homelessness Prevention, Homeownership, Land Use",National,,,,
Is Your Town Housing Ready?,Strong Towns,2025,https://static1.squarespace.com/static/53dd6676e4b0fedfbc26ea91/t/67b744f40b30173eed3dfca0/1740064010957/The+Housing-Ready+City.pdf,"Toolkit including 6 policies cities of all sizes and housing markets can adopt to increase housing choice and variety. Includes anecdotes of residents successfully adding gentle density, increasing their own financial stability.","Guide or Toolkit, Assessment",,Land Use,National,,,medium,"Straightforward guidance on upzoning, strong argument targeted at persuading NIMBY-types."
