Resource Name,Org,Date,URL,Summary,Tool Type,,Policy Area,Region,,Accessibility Score,Abundance Alignment,Strengths
Development Calculator,Terner Center,2025,https://ternercenter.berkeley.edu/proforma/,"Interactive financial model that demonstrates how changes in land cost, hard costs, development fees, affordability requirements, time to permitting, etc. impact the probablity of a development project being built. ",Simulator,,"Land Use, Financing Projects, Innovation in Building",West,,,Service Delivery,Useful to train civic employees on pro-forma & development finance
Policy Gauge,Terner Center,2025,https://ternercenter.berkeley.edu/example-cities/,"This tool models how adjusting policy factors like density and parking requirements impact the number of units produced and tax revenue generated. ",Simulator,,"Land Use, Financing Projects, Innovation in Building",West,,,Service Delivery,Useful to develop and intuition of how policy impacts housing production
Demystifying Development Math,Terner Center,2023,https://www.ternercenter.app/demystifying-development-math#simulation,"Interactive exercise that helps visualize and explain building costs for multi-family, market rate housing.",Simulator,,"Land Use, Financing Projects, Innovation in Building","National, West",,,Service Delivery,Useful to develop and intuition of how policy impacts housing production
Local Land Use Planning by Ballot,SPUR,2024,https://drive.google.com/file/d/16UUu65rMgCsRqedx39QaiW0QICowxd3x/view?usp=drive_link,A catalog of 208 Land use ballot measures that Californians have voted on over the years. Ballot measures are broken into categories and then analyzed for their wider impact on adding housing stock.,"Research Brief, Catalog or Library",,Financing Projects,West,,,Unlock Supply,Helpful for designing ballot measures that result in more housing
The Cost of Affordable Housing: Does it Pencil?,Urban Institute,2016,https://apps.urban.org/features/cost-of-affordable-housing/,"Interactive excercise that helps visualize and explain building costs for multi-family, affordable housing.",Simulator,,"Innovation in Building, Financing Projects",National,,,Human Centered Design,"Straightforward explanation of affordable housing finance that can help non-experts better understand trade-offs "
Housing Trust Funds in 10 Localities,NYU Furman Center Housing Solutions Lab,2023,https://www.localhousingsolutions.org/housing-policy-case-studies/housing-trust-funds-in-ten-localities/,"A comparison of 10 local Housing Trust Fund implementations, featuring different sizes and politial alignments.",Research Brief,,Financing Projects,National,,,Unlock Supply,"Flexible alternative to legacy finance sources like LIHTC, resulting in increased access to affordable housing "
Housing Strategy Review,NYU Furman Center Housing Solutions Lab,2025,https://localhousingsolutions.org/housing-strategy-review/long-version/,Questionaire/assessment that identifies the strengths of your local housing plan.,Assessment,,"Land Use, Financing Projects, Homelessness Prevention",National,,,Service Delivery,Provides guidance on how to better deliver or enhance a housing plan that results in more affordable housing
Housing Needs Assessment Tool,NYU Furman Center Housing Solutions Lab,2025,https://localhousingsolutions.org/housing-needs-assessment/,"Visually compare housing needs in your area to national aggregate of demographic data, economic data, property & stock data, subsidy data. Powered by PolicyMap.","Assessment, Interactive map",,"Land Use, Financing Projects",National,,,Service Delivery,"Useful for small teams who may not have access to sophisticated data analysis tools "
Building a Housing Strategy,NYU Furman Center Housing Solutions Lab,2025,https://localhousingsolutions.org/build-a-housing-strategy/,"Step by step guidance around planning a strategy, analyzing data, crafting policy, finding funding, making adjustments, and bridging policy sectors.","Guide or Toolkit, Training & Consulting",,"Land Use, Financing Projects",National,,,Service Delivery,"Useful walkthrough of designing a comprehensive housing strategy that can help small/midsize cities coordinate departments and roles "
Funding a Local Housing Strategy,NYU Furman Center,2025,https://www.localhousingsolutions.org/fund/,A menu of funding sources local governments can employ to increase or preserve affordable housing.,Research Brief,,Financing Projects,National,,,Unlock Supply,Resource to help policymakers choose the right funding source to unlock greater supply of housing
