Resource Name,Org,Date,URL,Summary,Tool Type,Policy Area,Region,Accessibility Score,Abundance Alignment,Strengths
"Development Calculator","Terner Center","2025","https://ternercenter.berkeley.edu/proforma/","","Simulator","Land Use; Financing Projects; Innovation in Building","West","Easy to Navigate; Scanable","Service Delivery","Useful to train civic employees on pro-forma & development finance"
"Policy Gauge","Terner Center","2025","https://ternercenter.berkeley.edu/example-cities/","","Simulator","Land Use; Financing Projects; Innovation in Building","West","Easy to Navigate","Service Delivery","Useful to develop and intuition of how policy impacts housing production"
"Demystifying Development Math","Terner Center","2023","https://www.ternercenter.app/demystifying-development-math#simulation","Interactive exercise that helps visualize and explain building costs for multi-family, market rate housing.","Simulator","Land Use; Financing Projects; Innovation in Building","National; West","Easy to Navigate; Scanable","Service Delivery","Useful to develop and intuition of how policy impacts housing production"
"Local Land Use Planning by Ballot","SPUR","2024","https://drive.google.com/file/d/16UUu65rMgCsRqedx39QaiW0QICowxd3x/view?usp=drive_link","","Research Brief, Catalog or Library","Financing Projects","West","Plain Language","Unlock Supply","Helpful for designing ballot measures that result in more housing"
"The Cost of Affordable Housing: Does it Pencil?","Urban Institute","2016","https://apps.urban.org/features/cost-of-affordable-housing/","","Simulator","Innovation in Building; Financing Projects","National","Plain Language; Easy to Navigate","Human Centered Design","Straightforward explanation of affordable housing finance that can help non-experts better understand trade-offs"
"Housing Trust Funds in 10 Localities","NYU Furman Center Housing Solutions Lab","2023","https://www.localhousingsolutions.org/housing-policy-case-studies/housing-trust-funds-in-ten-localities/","","Research Brief","Financing Projects","National","Scanable; Plain Language; Easy to Navigate","Unlock Supply","Flexible alternative to legacy finance sources like LIHTC, resulting in increased access to affordable housing"
"Housing Strategy Review","NYU Furman Center Housing Solutions Lab","2025","https://localhousingsolutions.org/housing-strategy-review/long-version/","","Assessment","Land Use; Financing Projects; Homelessness Prevention","National","Easy to Navigate; Plain Language; Scanable","Service Delivery","Provides guidance on how to better deliver or enhance a housing plan that results in more affordable housing"
"Housing Needs Assessment Tool","NYU Furman Center Housing Solutions Lab","2025","https://localhousingsolutions.org/housing-needs-assessment/","","Assessment, Interactive map","Land Use; Financing Projects","National","Easy to Navigate; Plain Language","Service Delivery","Useful for small teams who may not have access to sophisticated data analysis tools"
"Building a Housing Strategy","NYU Furman Center Housing Solutions Lab","2025","https://localhousingsolutions.org/build-a-housing-strategy/","","Guide or Toolkit, Training & Consulting","Land Use; Financing Projects","National","Plain Language; Easy to Navigate","Service Delivery","Useful walkthrough of designing a comprehensive housing strategy that can help small/midsize cities coordinate departments and roles"
"Funding a Local Housing Strategy","NYU Furman Center","2025","https://www.localhousingsolutions.org/fund/","","Research Brief","Financing Projects","National","Plain Language; Easy to Navigate; Scanable","Unlock Supply","Resource to help policymakers choose the right funding source to unlock greater supply of housing"
